language,tweetContentProcessed,mediaUrl,tweetId,image_id,year,tweetContent,description
en,A giant 150yearold banyan tree in Lahaina Hawaii was badly burned in the fires that ravaged Maui last month Then green shoots began to unfurl around its trunk hinting at the possibility of recovery for the tree and the community,https://pbs.twimg.com/media/F6dwObjWEAA_MDg.jpg,0,tweetImg0.jpg,2025,"A giant 150-year-old banyan tree in Lahaina, Hawaii, was badly burned in the fires that ravaged Maui last month.

Then, green shoots began to unfurl around its trunk, hinting at the possibility of recovery for the tree and the community.
https://t.co/0bAuTvYIzL https://t.co/kwNQlybY3h",An image of a burned Banyan tree with the text: Historic burned Banyon tree shows signs of recovery
en,Have you ever wondered why we name hurricanes The New York Times meteorologist Judson Jones explains,https://pbs.twimg.com/amplify_video_thumb/1704279802453110784/img/PPHSI_W4NYuuvD3s.jpg,1,tweetImg1.jpg,2025,Have you ever wondered why we name hurricanes? The New York Times meteorologist Judson Jones explains. https://t.co/qPZpHV3SG8 https://t.co/CRiNSx8J4I,An image of people running in the rain from the film
en,The third annual New York Times Restaurant List is here It wasnt easy to narrow it down but here are the 50 best restaurants in the US,https://pbs.twimg.com/media/F6bVip1XEAA-9Nc.jpg,2,tweetImg2.jpg,2025,"The third annual New York Times Restaurant List is here. It wasn’t easy to narrow it down, but here are the 50 best restaurants in the U.S. https://t.co/ysVBoAyJ2W https://t.co/aFmGQWJvpc",An image of a bowl of food with the text
en,It is the best chili I ever made or ate So much flavor so good This recipe makes a thick comforting chili that can be prepared in a slow cooker or in a Dutch oven on the stovetop,https://pbs.twimg.com/media/F6bHynZXQAAhrPH.jpg,3,tweetImg3.jpg,2025,"""It is the best chili I ever made or ate. So much flavor, so good."" 

This recipe makes a thick, comforting chili that can be prepared in a slow cooker or in a Dutch oven on the stovetop. https://t.co/STInvIC2dY https://t.co/NWw13e3W6l",An image of a bowl of chilli
en,After experiencing an unsolicited wave of viral fame the owners of the wine and ice cream bar Folderol in Paris took a number of measures to manage crowds including hiring a bouncer and putting up a No TikTok sign,https://pbs.twimg.com/media/F6bFefGWoAAPfLn.jpg,4,tweetImg4.jpg,2025,"After experiencing an unsolicited wave of viral fame, the owners of the wine and ice cream bar Folderol in Paris took a number of measures to manage crowds, including hiring a bouncer and putting up a “No TikTok” sign. https://t.co/4YYYu8DGxe https://t.co/uTA5aFYiIk",An image of people standing outside a bakery in Paris
en,Deported people must come back home and the occupier must return to their own land President Zelensky of Ukraine presented Russias aggression as a worldwide unrelenting threat that would not stop at the borders of Ukraine at the UN General Assembly,https://pbs.twimg.com/amplify_video_thumb/1704248883545563136/img/85JAD4b2OW81s32e.jpg,5,tweetImg5.jpg,2025,"""Deported people must come back home, and the occupier must return to their own land.""

President Zelensky of Ukraine presented Russia’s aggression as a worldwide unrelenting threat that would not stop at the borders of Ukraine at the UN General Assembly. https://t.co/gEJ30wKaM9 https://t.co/i2ixVZ7PQW","An image of a man in a green shirt with the words ""United Nations, New York, Sept. 19, 2020"""
en,Dear tomato season Its not goodbye its until we meet again,https://pbs.twimg.com/media/F6agP3bXMAAfHDm.jpg,6,tweetImg6.jpg,2025,"Dear tomato season,

It's not goodbye, it's until we meet again. https://t.co/kFzBfptT6d https://t.co/Yq7sdLW9pW",An image of a tomato and parsley in a bowl
en,At 14 Marcos Cux was maimed while working the overnight cleaning shift at a Perdue slaughterhouse in rural Virginia Hes just one of the thousands of migrant children trapped in dangerous jobs across the US,https://pbs.twimg.com/media/F6aUXsUXYAAXaJT.jpg,7,tweetImg7.jpg,2025,"At 14, Marcos Cux was maimed while working the overnight cleaning shift at a Perdue slaughterhouse in rural Virginia. He’s just one of the thousands of migrant children trapped in dangerous jobs across the U.S. https://t.co/aOmmJjGqLC https://t.co/n840vHrBw4",An image of a young man in a green rain jacket sitting on a stool with the headline: The Kids on the Night Shift
en,From TheAthletic Order was restored during Week 2 of the NFL season We ranked every team from the No 1 Cowboys to the No 32 Cardinals,https://pbs.twimg.com/media/F6aHsRaXgAA4nmx.jpg,8,tweetImg8.jpg,2025,From @TheAthletic: Order was restored during Week 2 of the NFL season. We ranked every team from the No. 1 Cowboys to the No. 32 Cardinals. https://t.co/odzr1mGE8d https://t.co/KGvA8sTcr9,An image of the Miami Dolphins quarterback throwing the ball during a game
en,If we allow Ukraine to be carved up is the independence of any nation secure President Biden asked world leaders at the UN General Assembly on Tuesday where he condemned Russias naked aggression,https://pbs.twimg.com/amplify_video_thumb/1704180515287269376/img/9Ubm5mHx8eEozhU-.jpg,9,tweetImg9.jpg,2025,"""If we allow Ukraine to be carved up, is the independence of any nation secure?"" President Biden asked world leaders at the UN General Assembly on Tuesday, where he condemned Russia’s ""naked aggression."" https://t.co/zNimymqyWw https://t.co/DUSj5KF4ra","An image of Joe Biden speaking at the UN, with the title ""United Nations, New York, Sept. 19, 2021"" and the date of the speech"
